device,fullVisitorId,visitId,transactions,revenue_usd
desktop,9913050839913654697,1485145536,1,16.5
desktop,66547844041573580,1484218900,1,16.46
desktop,3215729429198564415,1484752844,1,15.99
desktop,7930731506451371847,1484782617,1,15.99
desktop,1167024322256715151,1483658331,1,15.99
desktop,1201830545807654637,1484453948,1,15.99
desktop,4966706943943178506,1484100993,1,15.99
desktop,2793295987972453232,1483473211,1,15.99
desktop,2286438402554934622,1484847404,1,15.99
desktop,9077717113702247034,1485135453,1,15.96
desktop,2078583228250254997,1484785451,1,15.19
desktop,1324866380268873022,1484761831,1,15.19
desktop,1285811160522710067,1485055110,1,15.19
desktop,4211738365685147723,1484697791,1,15.19
desktop,3452334912084453714,1485559969,2,15.19
desktop,8398495866792940081,1485128091,1,15.19
desktop,1361425561124755941,1484082673,1,15.19
desktop,1853598182868352688,1484846506,1,15.19
desktop,9866199972997605138,1484856896,1,15.19
desktop,8386561909318064795,1483391685,1,15.18
desktop,1582753362351351109,1483415747,1,14.38
desktop,0159084910202112487,1483552413,1,14.37
desktop,5037208788065339806,1484958567,1,14.34
desktop,4792822839185962320,1485834622,1,13.99
desktop,9326855238826836003,1485293376,1,13.98
desktop,9911363060681535330,1484767482,1,13.59
desktop,6716928511410179095,1484722235,1,13.59
desktop,9237271576556447449,1485136484,1,13.59
desktop,5877921283678056526,1483653785,1,13.59
desktop,306895922494129375,1483655784,1,13.59
desktop,397897232696727433,1483627836,1,13.59
desktop,7594157089401877562,1485235715,1,13.59
desktop,4830211069912792009,1483321225,1,13.59
desktop,4163967138563839128,1484339233,1,13.59
desktop,8406359927975063956,1483577933,1,12.99
desktop,4611888827983385850,1485649633,1,11.99
desktop,0880816614925318447,1483928251,1,11.98
desktop,205818826345710444,1485483505,1,11.96
desktop,0227223667732638007,1484144991,1,11.2
desktop,7376304169676630885,1485279054,1,11.19
desktop,789905443393425189,1483402011,1,11.18
desktop,2478354346693137452,1484462123,1,11.18
desktop,8963849210488709948,1484692333,1,10.99
desktop,0932061680533450083,1484424982,1,10.99
desktop,6311424614094967654,1483909843,1,10.98
desktop,5148203255288090886,1485296196,1,10.97
desktop,9541870086630790426,1485882505,1,10.97
desktop,820434232211333013,1485894064,1,10.39
desktop,3246079438339709804,1484848918,1,10.38
desktop,4443963979157579061,1483465165,1,9.55
desktop,813435824692883942,1484342015,1,9.55
desktop,5915583521852915302,1485898588,1,8.98
desktop,176005021706950083,1485386572,1,7.99
desktop,0855579681303585688,1485715194,1,7.98
desktop,0728302696788663197,1484168605,1,7.97
desktop,7452591958167406113,1485829428,1,7.96
desktop,0840608732692239910,1484320817,1,7.96
desktop,7474545646288919609,1485314520,1,6.99
desktop,3081808777530081945,1485292952,1,6.99
desktop,6578016208706520145,1485403264,1,6.98
desktop,6415113611963925053,1485896708,1,6.97
desktop,6575507973076035820,1485737683,1,6.49
desktop,5110128793223386663,1483644184,1,5.98
desktop,1442096132173976146,1485930160,1,5.59
desktop,9620923631569343304,1484338459,1,5.5
desktop,3769216008640439142,1484958560,1,5.48
desktop,072871522029318255,1485327451,1,3.98
desktop,9935876634073968558,1484801431,1,3.98
desktop,7477203212403257765,1484856263,1,3.98
desktop,1096278048231856532,1484731002,1,3.96
